antecedents,consequents,support,confidence,lift,algorithm
LUNCH BAG CARS BLUE,LUNCH BAG PINK POLKADOT,0.023789498978733628,0.4489795918367347,8.813342318059298,Apriori
LUNCH BAG PINK POLKADOT,LUNCH BAG CARS BLUE,0.023789498978733628,0.46698113207547165,8.813342318059298,Apriori
LUNCH BAG PINK POLKADOT,LUNCH BAG  BLACK SKULL.,0.026552925627778445,0.5212264150943396,8.711179624157005,Apriori
LUNCH BAG  BLACK SKULL.,LUNCH BAG PINK POLKADOT,0.026552925627778445,0.4437751004016064,8.711179624157005,Apriori
LUNCH BAG PINK POLKADOT,LUNCH BAG RED RETROSPOT,0.02829508590652409,0.5554245283018868,8.254997051886793,Apriori
LUNCH BAG RED RETROSPOT,LUNCH BAG PINK POLKADOT,0.02829508590652409,0.4205357142857143,8.254997051886793,Apriori
LUNCH BAG SUKI DESIGN,LUNCH BAG CARS BLUE,0.021807040730505826,0.4342105263157895,8.194862155388472,Apriori
LUNCH BAG CARS BLUE,LUNCH BAG SUKI DESIGN,0.021807040730505826,0.41156462585034015,8.194862155388472,Apriori
LUNCH BAG WOODLAND,LUNCH BAG RED RETROSPOT,0.021867115222876366,0.5400593471810089,8.026632047477746,Apriori
LUNCH BAG RED RETROSPOT,LUNCH BAG WOODLAND,0.021867115222876366,0.325,8.026632047477746,Apriori
LUNCH BAG SPACEBOY DESIGN,LUNCH BAG SUKI DESIGN,0.020905923344947737,0.3986254295532647,7.937223565004359,Apriori
LUNCH BAG SUKI DESIGN,LUNCH BAG SPACEBOY DESIGN,0.020905923344947737,0.4162679425837321,7.937223565004359,Apriori
LUNCH BAG SUKI DESIGN,LUNCH BAG  BLACK SKULL.,0.02360927550162201,0.47009569377990434,7.856639476566554,Apriori
LUNCH BAG  BLACK SKULL.,LUNCH BAG SUKI DESIGN,0.02360927550162201,0.394578313253012,7.856639476566553,Apriori
LUNCH BAG SPACEBOY DESIGN,LUNCH BAG CARS BLUE,0.021807040730505826,0.41580756013745707,7.84754268259423,Apriori
LUNCH BAG CARS BLUE,LUNCH BAG SPACEBOY DESIGN,0.021807040730505826,0.41156462585034015,7.84754268259423,Apriori
LUNCH BAG PINK POLKADOT,LUNCH BAG SUKI DESIGN,0.020004805959389645,0.39268867924528306,7.819014060666246,Apriori
LUNCH BAG SUKI DESIGN,LUNCH BAG PINK POLKADOT,0.020004805959389645,0.3983253588516747,7.819014060666246,Apriori
LUNCH BAG  BLACK SKULL.,LUNCH BAG CARS BLUE,0.024149945932956867,0.4036144578313253,7.617422069229299,Apriori
LUNCH BAG CARS BLUE,LUNCH BAG  BLACK SKULL.,0.024149945932956867,0.4557823129251701,7.617422069229298,Apriori
LUNCH BAG SPACEBOY DESIGN,LUNCH BAG PINK POLKADOT,0.02006488045176018,0.3825887743413517,7.510109360478939,Apriori
LUNCH BAG PINK POLKADOT,LUNCH BAG SPACEBOY DESIGN,0.02006488045176018,0.3938679245283019,7.510109360478939,Apriori
LUNCH BAG SPACEBOY DESIGN,LUNCH BAG  BLACK SKULL.,0.023368977532139852,0.44558991981672397,7.447078117740148,Apriori
LUNCH BAG  BLACK SKULL.,LUNCH BAG SPACEBOY DESIGN,0.023368977532139852,0.3905622489959839,7.447078117740147,Apriori
JUMBO BAG STRAWBERRY,JUMBO BAG RED RETROSPOT,0.02372942448636309,0.635048231511254,7.305468460080396,Apriori
JUMBO BAG RED RETROSPOT,JUMBO BAG STRAWBERRY,0.02372942448636309,0.27297857636489287,7.305468460080396,Apriori
LUNCH BAG RED RETROSPOT,LUNCH BAG SUKI DESIGN,0.024630541871921183,0.3660714285714286,7.289025119617226,Apriori
LUNCH BAG SUKI DESIGN,LUNCH BAG RED RETROSPOT,0.024630541871921183,0.49043062200956944,7.289025119617226,Apriori
LUNCH BAG RED RETROSPOT,LUNCH BAG  BLACK SKULL.,0.029076054307341104,0.43214285714285716,7.222339357429719,Apriori
LUNCH BAG  BLACK SKULL.,LUNCH BAG RED RETROSPOT,0.029076054307341104,0.4859437751004016,7.2223393574297186,Apriori
JUMBO BAG RED RETROSPOT,JUMBO BAG PINK POLKADOT,0.030397693139492973,0.3496890117484451,7.168624740843124,Apriori
JUMBO BAG PINK POLKADOT,JUMBO BAG RED RETROSPOT,0.030397693139492973,0.6231527093596059,7.168624740843123,Apriori
LUNCH BAG RED RETROSPOT,LUNCH BAG SPACEBOY DESIGN,0.024630541871921183,0.3660714285714286,6.980097365406645,Apriori
LUNCH BAG SPACEBOY DESIGN,LUNCH BAG RED RETROSPOT,0.024630541871921183,0.4696449026345934,6.980097365406644,Apriori
LUNCH BAG RED RETROSPOT,LUNCH BAG CARS BLUE,0.0248107653490328,0.36875,6.959424603174604,Apriori
LUNCH BAG CARS BLUE,LUNCH BAG RED RETROSPOT,0.0248107653490328,0.46825396825396826,6.959424603174603,Apriori
LUNCH BAG RED RETROSPOT,LUNCH BAG APPLE DESIGN,0.020004805959389645,0.29732142857142857,6.634333109919571,Apriori
LUNCH BAG APPLE DESIGN,LUNCH BAG RED RETROSPOT,0.020004805959389645,0.44638069705093836,6.634333109919571,Apriori
JUMBO STORAGE BAG SUKI,JUMBO BAG RED RETROSPOT,0.024510392887180103,0.5666666666666667,6.518820548260769,Apriori
JUMBO BAG RED RETROSPOT,JUMBO STORAGE BAG SUKI,0.024510392887180103,0.2819626814098134,6.518820548260769,Apriori
JUMBO BAG RED RETROSPOT,JUMBO  BAG BAROQUE BLACK WHITE,0.020845848852577196,0.2398064961990325,6.376707565062452,Apriori
JUMBO  BAG BAROQUE BLACK WHITE,JUMBO BAG RED RETROSPOT,0.020845848852577196,0.5543130990415336,6.376707565062452,Apriori
REGENCY CAKESTAND 3 TIER,ROSES REGENCY TEACUP AND SAUCER,0.02114622131442989,0.24964539007092199,6.1291993556350555,Apriori
ROSES REGENCY TEACUP AND SAUCER,REGENCY CAKESTAND 3 TIER,0.02114622131442989,0.5191740412979351,6.1291993556350555,Apriori
WHITE HANGING HEART T-LIGHT HOLDER,RED HANGING HEART T-LIGHT HOLDER,0.025711882734590893,0.22717622080679406,5.890304317055909,Apriori
RED HANGING HEART T-LIGHT HOLDER,WHITE HANGING HEART T-LIGHT HOLDER,0.025711882734590893,0.6666666666666666,5.890304317055909,Apriori
JUMBO BAG RED RETROSPOT,JUMBO SHOPPER VINTAGE RED PAISLEY,0.022407785654211223,0.25777470628887356,5.728862164064872,Apriori
JUMBO SHOPPER VINTAGE RED PAISLEY,JUMBO BAG RED RETROSPOT,0.022407785654211223,0.49799732977303074,5.728862164064871,Apriori
SPOTTY BUNTING,PARTY BUNTING,0.02156674276102367,0.39537444933920707,5.101862855581738,Apriori
PARTY BUNTING,SPOTTY BUNTING,0.02156674276102367,0.27829457364341087,5.101862855581737,Apriori
JUMBO BAG RED RETROSPOT,LUNCH BAG RED RETROSPOT,0.02264808362369338,0.26053904630269525,3.872261575673808,Apriori
LUNCH BAG RED RETROSPOT,JUMBO BAG RED RETROSPOT,0.02264808362369338,0.3366071428571429,3.872261575673808,Apriori
